col0,col1,col2,col3,col4,col5,col6
番号,区分,小学校区域　　,保育所名,所在地,人数,受入年齢
1,公立,木戸,比良保育園,大津市南比良585-1,120,3ヶ月～
2,公立,和邇,和邇保育園,大津市和邇中172-1,120,3ヶ月～
3,公立,伊香立,伊香立保育園,大津市伊香立下龍華町566,60,3ヶ月～
4,公立,堅田,堅田保育園,大津市本堅田四丁目26-1,150,2ヶ月～
5,公立,堅田,天神山保育園,大津市本堅田六丁目3-1,100,2ヶ月～
6,公立,唐崎,唐崎保育園,大津市際川三丁目37-1,100,3ヶ月～
7,公立,滋賀,皇子が丘保育園,大津市皇子が丘一丁目20-20,120,3ヶ月～
8,公立,逢坂,朝日が丘保育園,大津市朝日が丘一丁目23-33,140,3ヶ月～
9,公立,膳所,膳所保育園,大津市昭和町17-32,140,3ヶ月～
10,公立,晴嵐,晴嵐保育園,大津市光が丘町5-10,140,2ヶ月～
11,公立,石山,大平保育園,大津市大平二丁目33-22,140,3ヶ月～
12,公立,瀬田南,瀬田南保育園,大津市三大寺1-3,60,3歳児～
13,公認,比叡平,比叡平こども園,大津市比叡平一丁目45-3,30,3ヶ月～
14,私立,真野北,真野保育園,大津市向陽町4-2,90,3ヶ月～
15,私立,堅田,ほっぺるランド堅田,大津市今堅田二丁目37-15,70,6ヶ月～
16,私立,堅田,堅田くじら保育園,大津市堅田一丁目7-18,60,2ヶ月～
17,私立,堅田,京進のほいくえんHOPPA衣川湖岸緑地,大津市衣川一丁目39-4,90,6ヶ月～
18,私立,仰木の里東　　　　,せんだん保育園,大津市仰木の里東二丁目2-5,140,生後57日～
19,私立,坂本,専称寺保育園,大津市坂本八丁目31-46,140,2ヶ月～
20,私立,坂本,比叡山坂本保育園（専称寺保育園分園）,大津市坂本三丁目18-45,29,2ヶ月～
21,私立,坂本,真愛保育園,大津市坂本二丁目12-45,120,2ヶ月～
22,私立,下阪本,たけのこ保育園,大津市下阪本四丁目21-9,90,生後57日～
23,私立,唐崎,風の子保育園,大津市穴太二丁目21-15,120,2ヶ月～
24,私立,唐崎,風の子保育園分園,大津市穴太二丁目21-15,30,5歳児
25,私立,唐崎,京進のほいくえんHOPPA唐崎駅,大津市唐崎一丁目34-15,90,6ヶ月～
26,私立,唐崎,キングダム・キッズ滋賀里,大津市滋賀里四丁目6-6,60,6ヶ月～
27,私立,滋賀,松の実保育園,大津市高砂町15-8,50,生後43日～
28,私立,唐崎,松の実保育園分園,大津市滋賀里一丁目28-66,20,5歳児
29,私立,滋賀,第二松の実保育園,大津市高砂町15-9,50,生後43日～
30,私立,滋賀,楽らく保育園,大津市柳川二丁目7-1,72,6ヶ月～
31,私立,滋賀,よいこのもり保育園,大津市神宮町1-10,120,6ヶ月～
32,私立,滋賀,アスク大津京保育園,大津市松山町13-7,80,6ヶ月～
33,私立,逢坂,近松保育園,大津市札の辻4-26,100,4ヶ月～
34,私立,中央,浜大津保育園,大津市浜大津四丁目1-1,60,2ヶ月～
35,私立,平野,いぶき保育園,大津市松本二丁目15-23,76,生後57日～
36,私立,平野,いぶき保育園分園,大津市松本二丁目15-26,44,4・5歳児
37,私立,平野,竜が丘保育園,大津市竜が丘26-36,110,3ヶ月～
38,私立,平野,なぎさ保育園,大津市打出浜3-48,120,6ヶ月～
39,私立,平野,におの浜保育園,大津市におの浜二丁目2-10,120,6ヶ月～
40,私立,晴嵐,京進のほいくえんHOPPA石山駅,大津市松原町3-3,60,6ヶ月～
41,私立,晴嵐,つばさ保育園,大津市鳥居川町8-5-2,60,4ヶ月～
42,私立,晴嵐,石山くじら保育園,大津市国分一丁目15-73,60,生後57日～
43,私立,田上,田上保育園,大津市稲津二丁目5-7,60,生後57日～
44,私立,青山,正休保育園,大津市桐生一丁目17－18,70,6ヶ月～
45,私立,青山,正休ののはな保育園,大津市松が丘七丁目16-1,100,3ヶ月～
46,私立,瀬田南,つくし保育園,大津市瀬田一丁目2-19,90,生後43日～
47,私立,瀬田南,たんぽぽ保育園,大津市神領三丁目15-1,90,生後43日～
48,私立,瀬田南,玉野浦保育園,大津市玉野浦12-1,60,生後57日～
49,私立,瀬田,あおぞら保育園,大津市大江一丁目36-1,100,生後43日～
50,私立,瀬田,博愛保育園,大津市大江六丁目1-1,130,2ヶ月～
51,私立,瀬田,レイモンド大津保育園,大津市一里山七丁目1-1,90,生後58日～
53,私立,瀬田北,おおがや愛保育園,大津市大萱四丁目3-11,90,生後57日～
54,私立,瀬田北,レイモンド淡海保育園,大津市萱野浦2-1,70,生後57日～
55,私立,瀬田北,京進のほいくえんHOPPA大将軍,大津市大将軍一丁目3-14,70,6ヶ月～
56,私立,瀬田北,京進のほいくえんHOPPA大将軍なごみ,大津市大将軍二丁目8-25,60,6ヶ月～
57,私立,瀬田東,トレジャーキッズつきのわ保育園,大津市月輪二丁目2-27,80,生後57日～
58,私立,瀬田東,グレイス一里山保育園,大津市一里山三丁目17-12,80,生後57日～
59,私認,和邇,アスクわにこども園,大津市和邇中浜489-1,6,6ヶ月～
60,私認,真野北,麗湖こども園,大津市花園町13-36,15,3ヶ月～
61,私認,堅田,わかばこども園,大津市今堅田三丁目25-25,15,6ヶ月～
62,私認,堅田,そよ風のぞみこども園,大津市今堅田一丁目10-1　　　　　　　　　地図を見る,15,4ヶ月～
63,私認,堅田,本福寺こども園,大津市本堅田一丁目22-30,45,2ヶ月～
64,私認,堅田,第二本福寺こども園,大津市本堅田六丁目14-11,60,2ヶ月～
65,私認,仰木の里,認定こども園はぐくみの家仰木星の子,大津市仰木の里一丁目28-1,15,2ヶ月～
66,私認,雄琴,認定こども園星の子保育園,大津市雄琴二丁目17-13,15,2ヶ月～
67,私認,雄琴,認定こども園ひだまりの家第二星の子,大津市雄琴一丁目9-22,15,2ヶ月～
68,私認,日吉台,日吉台至明こども園,大津市日吉台三丁目33-2,15,3ヶ月～
69,私認,坂本,日吉の森こども園,大津市坂本六丁目9-7,15,3ヶ月～
70,私認,下阪本,ひえいの森こども園,大津市比叡辻一丁目11-17　　　　　　　　地図を見る,15,3ヶ月～
71,私認,唐崎,蓮美幼児学園唐崎キンダースクール,大津市唐崎一丁目15-12,12,6ヶ月～
72,私認,唐崎,聖パウロこども園,大津市見世一丁目1-35,80,6ヶ月～
73,私認,長等,みつばちこども園,大津市観音寺10-25,15,3ヶ月～
74,私認,滋賀,大津京こども園（みつばちこども園分園）,大津市桜野町一丁目19-7,0,3ヶ月～
75,私認,藤尾,永興藤尾こども園,大津市茶戸町22-6,15,2ヶ月～
76,私認,逢坂,大津さくらこども園,大津市春日町1-1,35,6ヶ月～
77,私認,中央,レイモンドみらい園,大津市中央二丁目2-20,6,3ヶ月～
78,私認,平野,聖母こども園,大津市馬場二丁目6-62,85,2歳児～
79,私認,膳所,保育所型認定こども園湖のこ保育園,大津市相模町8-1,15,生後56日～
80,私認,膳所,認定こども園聖愛幼稚園,大津市中庄一丁目2-1,25,3歳児～
81,私認,膳所,アスク御殿浜こども園,大津市御殿浜19-15,15,6ヶ月～
82,私認,晴嵐,大津あいあい保育園,大津市鳥居川町16-20　　　　　　　　地図を見る,15,3ヶ月～
83,私認,晴嵐,保育所型認定こども園ぐろうすきっず北大路保育園,大津市北大路三丁目21-10,6,生後57日～
84,私認,富士見,茶臼山こども園,大津市秋葉台31-40,45,6ヶ月～
85,私認,富士見,永興富士見こども園,大津市富士見台3-30,15,2ヶ月～
86,私認,石山,石山寺こども園,大津市石山寺二丁目25-43,15,3ヶ月～
87,私認,石山,保育の家しょうなん,大津市平津二丁目4-9,15,3ヶ月～
88,私認,南郷,南郷こども園,大津市南郷二丁目47-7,15,6ヶ月～
89,私認,瀬田南,みどりこども園,大津市瀬田三丁目23-3,15,5ヶ月～
90,私認,瀬田,レイモンド瀬田こども園,大津市大江四丁目12-34,15,4ヶ月～
91,私認,瀬田北,レイモンド大萱こども園,大津市大萱四丁目10-50,6,生後57日～
92,私認,瀬田北,ひかりこども園,大津市大萱三丁目11-14　　　　　　　　　地図を見る,15,6ヶ月～
93,私認,瀬田北,大将軍ひかりこども園,大津市大将軍三丁目19-2　　　　　　　　　地図を見る,15,6ヶ月～
94,私認,瀬田東,一里山ひかりこども園,大津市一里山二丁目19-10　　　　　　　　地図を見る,15,6ヶ月～
95,私認,瀬田東,びわこきららこども園,大津市月輪五丁目4-1,60,6ヶ月～
96,私認,瀬田東,学園前こども園,大津市一里山五丁目10-7,12,2ヶ月～
97,私地,和邇,こころ咲く,大津市和邇北浜678-10,5,10ヶ月～
98,私地,和邇,Happy♪マグ,大津市和邇中105-9,5,2ヶ月～
99,私地,和邇,ちびっこるーむ和邇保育室,大津市和邇今宿843-1,19,生後57日～
100,私地,堅田,にじいろ,大津市本堅田六丁目8-4,5,3ヶ月～
