"col0","col1","col2","col3","col4","col5","col6","LocName","fX","fY","iConf","iLvl"
番号,区分,小学校区域　　,保育所名,所在地,人数,受入年齢,"千葉県/成田市/所","140.45662","35.85686","3","5"
1,公立,木戸,比良保育園,大津市南比良585-1,定員：120,3ヶ月～,"滋賀県/大津市/南比良/５８５番地","135.93791","35.21781","5","7"
2,公立,和邇,和邇保育園,大津市和邇中172-1,定員：120,3ヶ月～,"滋賀県/大津市/和邇中/１７２番地","135.91899","35.15698","5","7"
3,公立,伊香立,伊香立保育園,大津市伊香立下龍華町566,定員：60,3ヶ月～,"滋賀県/大津市/伊香立下龍華町/５６６番地","135.89384","35.15321","5","7"
4,公立,堅田,堅田保育園,大津市本堅田四丁目26-1,定員：150,2ヶ月～,"滋賀県/大津市/本堅田/四丁目/２６番","135.91891","35.11752","5","7"
5,公立,堅田,天神山保育園,大津市本堅田六丁目3-1,定員：100,2ヶ月～,"滋賀県/大津市/本堅田/六丁目/３番","135.90717","35.11523","5","7"
6,公立,唐崎,唐崎保育園,大津市際川三丁目37-1,定員：100,3ヶ月～,"滋賀県/大津市/際川/三丁目/３７番","135.86523","35.04306","5","7"
7,公立,滋賀,皇子が丘保育園,大津市皇子が丘一丁目20-20,定員：120,3ヶ月～,"滋賀県/大津市/皇子が丘/一丁目/２０番","135.85185","35.02631","5","7"
8,公立,逢坂,朝日が丘保育園,大津市朝日が丘一丁目23-33,定員：140,3ヶ月～,"滋賀県/大津市/朝日が丘/一丁目/２３番","135.87041","35.00172","5","7"
9,公立,膳所,膳所保育園,大津市昭和町17-32,定員：140,3ヶ月～,"滋賀県/大津市/昭和町/１７番","135.88853","34.99882","5","7"
10,公立,晴嵐,晴嵐保育園,大津市光が丘町5-10,定員：140,2ヶ月～,"滋賀県/大津市/光が丘町/５番","135.89674","34.97156","5","7"
11,公立,石山,大平保育園,大津市大平二丁目33-22,定員：140,3ヶ月～,"滋賀県/大津市/大平/二丁目/３３番","135.89427","34.94989","5","7"
12,公立,瀬田南,瀬田南保育園,大津市三大寺1-3,定員：60,3歳児～,"滋賀県/大津市/三大寺/１番","135.91504","34.97459","5","7"
13,公認,比叡平,比叡平こども園,大津市比叡平一丁目45-3,1号定員:30,3ヶ月～,"滋賀県/大津市/比叡平/一丁目/４５番","135.83453","35.03288","5","7"
14,私立,真野北,真野保育園,大津市向陽町4-2,定員：90,3ヶ月～,"滋賀県/大津市/向陽町/４番","135.91702","35.13766","5","7"
15,私立,堅田,ほっぺるランド堅田,大津市今堅田二丁目37-15,定員：70,6ヶ月～,"滋賀県/大津市/今堅田/二丁目/３７番","135.92204","35.12484","5","7"
16,私立,堅田,堅田くじら保育園,大津市堅田一丁目7-18,定員：60,2ヶ月～,"滋賀県/大津市/堅田/一丁目/７番","135.90981","35.10947","5","7"
17,私立,堅田,京進のほいくえんHOPPA衣川湖岸緑地,大津市衣川一丁目39-4,定員：90,6ヶ月～,"滋賀県/大津市/衣川/一丁目/３９番","135.90698","35.10465","5","7"
18,私立,仰木の里東　　　　,せんだん保育園,大津市仰木の里東二丁目2-5,定員：140,生後57日～,"滋賀県/大津市/仰木の里東/二丁目/２番","135.89844","35.10270","5","7"
19,私立,坂本,専称寺保育園,大津市坂本八丁目31-46,定員：140,2ヶ月～,"滋賀県/大津市/坂本/八丁目/３１番","135.87440","35.07976","5","7"
20,私立,坂本,比叡山坂本保育園（専称寺保育園分園）,大津市坂本三丁目18-45,定員：29,2ヶ月～,"滋賀県/大津市/坂本/三丁目/１８番","135.87715","35.07010","5","7"
21,私立,坂本,真愛保育園,大津市坂本二丁目12-45,定員：120,2ヶ月～,"滋賀県/大津市/坂本/二丁目/１２番","135.87135","35.06512","5","7"
22,私立,下阪本,たけのこ保育園,大津市下阪本四丁目21-9,定員：90,生後57日～,"滋賀県/大津市/下阪本/四丁目/２１番","135.87508","35.06507","5","7"
23,私立,唐崎,風の子保育園,大津市穴太二丁目21-15,定員：120,2ヶ月～,"滋賀県/大津市/穴太/二丁目/２１番","135.86772","35.05190","5","7"
24,私立,唐崎,風の子保育園分園,大津市穴太二丁目21-15,定員：30,5歳児,"滋賀県/大津市/穴太/二丁目/２１番","135.86772","35.05190","5","7"
25,私立,唐崎,京進のほいくえんHOPPA唐崎駅,大津市唐崎一丁目34-15,定員：90,6ヶ月～,"滋賀県/大津市/唐崎/一丁目/３４番","135.86819","35.04688","5","7"
26,私立,唐崎,キングダム・キッズ滋賀里,大津市滋賀里四丁目6-6,定員：60,6ヶ月～,"滋賀県/大津市/滋賀里/四丁目/６番","135.86017","35.04629","5","7"
27,私立,滋賀,松の実保育園,大津市高砂町15-8,定員：50,生後43日～,"滋賀県/大津市/高砂町/１５番","135.85696","35.04102","5","7"
28,私立,唐崎,松の実保育園分園,大津市滋賀里一丁目28-66,定員：20,5歳児,"滋賀県/大津市/滋賀里/一丁目/２８番","135.85452","35.04406","5","7"
